time_ref,account,code,country_code,product_type,value,status
202103,Exports,0,AE,Goods,216501082,F
202103,Exports,0,AF,Goods,5716,F
202103,Exports,0,AG,Goods,783280,F
202103,Exports,0,AI,Goods,18040,F
202103,Exports,0,AL,Goods,326369,F
202103,Exports,0,AM,Goods,43758,F
202103,Exports,0,AO,Goods,3049792,F
202103,Exports,0,AQ,Goods,75907,F
202103,Exports,0,AR,Goods,5365283,F
202103,Exports,0,AS,Goods,5789550,F
202103,Exports,0,AT,Goods,6579711,F
202103,Exports,0,AU,Goods,1748266222,F
202103,Exports,0,AW,Goods,221408,F
202103,Exports,0,AZ,Goods,2046285,F
202103,Exports,0,BB,Goods,6116859,F
202103,Exports,0,BD,Goods,119928992,F
202103,Exports,0,BE,Goods,40527382,F
202103,Exports,0,BF,Goods,458762,F
202103,Exports,0,BG,Goods,3747654,F
202103,Exports,0,BH,Goods,23102513,F
202103,Exports,0,BJ,Goods,1786696,F
202103,Exports,0,BM,Goods,1084984,F
202103,Exports,0,BN,Goods,1656962,F
202103,Exports,0,BO,Goods,31350,F
202103,Exports,0,BR,Goods,17197243,F
202103,Exports,0,BS,Goods,509992,F
202103,Exports,0,BT,Goods,121199,F
202103,Exports,0,BW,Goods,8636,F
202103,Exports,0,BY,Goods,261664,F
202103,Exports,0,BZ,Goods,260017,F
202103,Exports,0,CA,Goods,158989687,F
202103,Exports,0,CD,Goods,1241375,F
202103,Exports,0,CG,Goods,1841126,F
202103,Exports,0,CH,Goods,34670445,F
202103,Exports,0,CI,Goods,8123198,F
202103,Exports,0,CK,Goods,19976955,F
202103,Exports,0,CL,Goods,54684620,F
202103,Exports,0,CM,Goods,13230823,F
202103,Exports,0,CN,Goods,4624272539,F
202103,Exports,0,CO,Goods,5227916,F
202103,Exports,0,CR,Goods,1908331,F
202103,Exports,0,CU,Goods,11405436,F
202103,Exports,0,CW,Goods,37653,F
202103,Exports,0,CX,Goods,76392,F
202103,Exports,0,CY,Goods,1761671,F
202103,Exports,0,CZ,Goods,8157828,F
202103,Exports,0,DE,Goods,196301956,F
202103,Exports,0,DJ,Goods,818870,F
202103,Exports,0,DK,Goods,31432966,F
202103,Exports,0,DO,Goods,5117816,F
202103,Exports,0,DZ,Goods,101070924,F
202103,Exports,0,EC,Goods,5279039,F
202103,Exports,0,EE,Goods,1195717,F
202103,Exports,0,EG,Goods,82968716,F
202103,Exports,0,ES,Goods,40775089,F
202103,Exports,0,ET,Goods,1267,F
202103,Exports,0,FI,Goods,4054760,F
202103,Exports,0,FJ,Goods,92665024,F
202103,Exports,0,FK,Goods,210583,F
202103,Exports,0,FM,Goods,474686,F
202103,Exports,0,FO,Goods,668811,F
202103,Exports,0,FR,Goods,116178868,F
202103,Exports,0,GA,Goods,62484,F
202103,Exports,0,GB,Goods,341309822,F
202103,Exports,0,GD,Goods,799944,F
202103,Exports,0,GE,Goods,11291454,F
202103,Exports,0,GH,Goods,8656689,F
202103,Exports,0,GI,Goods,137677,F
202103,Exports,0,GM,Goods,287438,F
202103,Exports,0,GN,Goods,429693,F
202103,Exports,0,GP,Goods,945662,F
202103,Exports,0,GQ,Goods,368005,F
202103,Exports,0,GR,Goods,8834047,F
202103,Exports,0,GT,Goods,9797409,F
202103,Exports,0,GU,Goods,1886149,F
202103,Exports,0,GY,Goods,5819345,F
202103,Exports,0,HK,Goods,215944741,F
202103,Exports,0,HN,Goods,758773,F
202103,Exports,0,HR,Goods,335356,F
202103,Exports,0,HT,Goods,51580,F
202103,Exports,0,HU,Goods,785551,F
202103,Exports,0,ID,Goods,356017251,F
202103,Exports,0,IE,Goods,16652293,F
202103,Exports,0,IL,Goods,4285413,F
202103,Exports,0,IN,Goods,94845335,F
202103,Exports,0,IO,Goods,69453,F
202103,Exports,0,IQ,Goods,1684451,F
202103,Exports,0,IR,Goods,293919,F
202103,Exports,0,IS,Goods,440711,F
202103,Exports,0,IT,Goods,53304666,F
202103,Exports,0,JM,Goods,8378163,F
202103,Exports,0,JO,Goods,18710372,F
202103,Exports,0,JP,Goods,743579960,F
202103,Exports,0,KE,Goods,1776093,F
202103,Exports,0,KG,Goods,43056,F
202103,Exports,0,KH,Goods,3346213,F
202103,Exports,0,KI,Goods,1991986,F
202103,Exports,0,KM,Goods,107556,F
202103,Exports,0,KR,Goods,419320379,F
